OPEN,HIGH,LOW,CLOSE,VOLUME,Close_Time,QUOTE_ASSET_VOLUME,NUMBER_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,IGNORE,Date_column
"41382,6",42656,"41116,56","42380,87","22405,16704",1644191999999,"934168802,9",788291,"11546,39088","481652514,4",0,06/02/2022 00:00:00
"7929,87",8149,"7728,01","7894,56","86783,44388",1583884799999,"689700153,4",737528,"43673,58402","347117049,4",0,10/03/2020 00:00:00
"39450,12",40616,38200,"40426,08","63037,12784",1650931199999,2470071005,1280351,"31958,39557",1252785477,0,25/04/2022 00:00:00
"52666,2",52920,"42843,05","46863,73","123048,8027",1631059199999,6004105773,3321711,"57935,60198",2832268574,0,07/09/2021 00:00:00
"6359,11",6360,6024,"6236,65","93159,69343",1585439999999,"577986706,1",725588,"44960,52344","279053353,6",0,28/03/2020 00:00:00
"40019,57",40640,39200,"40016,48","53998,43928",1627603199999,2154190697,1428738,"26700,92624",1065505375,0,29/07/2021 00:00:00
"9895,04",10166,"9880,75","10151,75","43408,47562",1581292799999,"437441704,9",536848,"22408,27733",225799470,0,09/02/2020 00:00:00
"26281,54",27500,26101,"27079,41","79721,7425",1609199999999,2151806809,1508204,"37895,34562",1023061029,0,28/12/2020 00:00:00
"27033,85",27500,"26544,71","27405,61","42958,97785",1684367999999,1159714528,1016823,"21634,02212","584185553,8",0,17/05/2023 00:00:00
"34494,89",36600,"34225,43","35911,73","90788,79622",1625011199999,3233947792,1673802,"45376,58763",1616093005,0,29/06/2021 00:00:00
"9518,16",9664,"9440,33","9603,27","51856,2335",1595548799999,"494282948,7",735371,"24461,26547","233235064,2",0,23/07/2020 00:00:00
"27124,9",27520,"26631,78","27261,07","78602,44341",1680047999999,2124533607,1521981,"38972,61486",1053473599,0,28/03/2023 00:00:00
"42217,87",42760,41870,"42053,66","17732,08113",1644796799999,"750533311,7",624898,"8333,13302","352741586,1",0,13/02/2022 00:00:00
"9624,33",9670,9208,"9296,49","61571,56146",1593043199999,"579426702,8",572362,"26903,54406","253131387,6",0,24/06/2020 00:00:00
"46025,23",46880,43370,"44940,73","65429,15056",1631577599999,2930668118,1703512,"32041,05972",1435586959,0,13/09/2021 00:00:00
"10151,72",10188,9756,"9851,83","59573,08462",1581379199999,"590091358,4",690308,"28618,88325","283509329,4",0,10/02/2020 00:00:00
"42252,02",42800,"42125,48","42753,97","17891,66047",1649548799999,"759274586,6",640230,"8910,47179","378158044,3",0,09/04/2022 00:00:00
"23242,42",23452,"22665,85",22963,"280056,3072",1675900799999,6457585648,7896433,"138627,7264",3196783920,0,08/02/2023 00:00:00
"49246,63",51000,"48316,84","49999,14","59025,64416",1630713599999,2949574478,1645163,"29625,44338",1481238133,0,03/09/2021 00:00:00
"8722,77",9168,8200,"8561,52","168807,2518",1589241599999,1468392821,1367382,"81474,59507","708958944,2",0,11/05/2020 00:00:00
"28923,63",29600,"28624,57","29331,69","54182,92501",1609545599999,1582526989,1314910,"27455,80173","802247744,5",0,01/01/2021 00:00:00
"9054,64",9170,"8985,5","9131,88","43782,94804",1583539199999,"397598476,4",493216,"22296,56051","202484342,2",0,06/03/2020 00:00:00
"27992,58",28580,"27281,44","27494,51","57071,14241",1696291199999,1600944483,1464158,"28423,61","797598852,5",0,02/10/2023 00:00:00
